id,year,month,day,tmin,tmax,mean_cloud,wind,prcp,wet_day
309,6485,12,26,-9.69567,3.94929,0.440999,0.572728,0,0
309,6485,12,27,-11.5352,-4.83349,0.906607,1.07329,4.85971,1
309,6485,12,28,-4.31366,0.631055,0.940636,1.07118,3.2673,1
309,6485,12,29,-10.0038,-3.13143,1,1.49168,0,0
309,6485,12,30,-11.03,-2.49818,0.644971,0,0,0
309,6485,12,31,-6.81055,3.63513,0.861706,1.25761,0.329662,1
309,6486,1,1,-7.85392,0.356196,0.915253,1.14349,5.76035,1
309,6486,1,2,-8.36083,-4.00186,0.625806,0,0,0
309,6486,1,3,-6.36683,-1.3351,0.905993,1.09015,2.62699,1
309,6486,1,4,-7.0823,-4.20624,0.836456,0,5.2337,1
309,6486,1,5,-6.47472,0.448029,0.938257,0.791578,0.00652069,1
309,6486,1,6,-8.30193,-2.58794,0.985702,0,0.108283,1
309,6486,1,7,-4.56659,4.57467,0.35479,2.14563,0,0
309,6486,1,8,-7.92423,7.03458,0.51918,0,0,0
309,6486,1,9,-7.24736,-1.10646,0.96233,0,0.205431,1
309,6486,1,10,-9.59595,0.0141664,0.796999,2.09663,0.0496491,1
309,6486,1,11,-8.45565,2.14073,0.873269,0.654628,9.61255,1
309,6486,1,12,-8.00351,6.77857,0.703743,0.790901,0,0
309,6486,1,13,-2.08604,3.44707,0.952089,3.24233,2.07223,1
309,6486,1,14,-9.99248,1.11835,0.765186,1.58976,0,0
309,6486,1,15,-7.51653,2.89285,0.761315,0.147451,0,0
309,6486,1,16,-9.23779,0.916685,0.858889,1.90996,2.17006,1
309,6486,1,17,-8.49292,-1.97937,0.751152,0.405386,0,0
309,6486,1,18,-6.9283,-0.561071,0.883298,1.19462,3.65369,1
309,6486,1,19,-5.05492,-2.60126,0.80789,0,3.76483,1
309,6486,1,20,-5.51336,-4.2387,0.832615,0.609156,0.833039,1
309,6486,1,21,-5.88834,-2.74484,0.92074,0,4.73622,1
309,6486,1,22,-9.24954,-6.93881,0.630145,2.60106,0,0
309,6486,1,23,-9.92024,-8.11026,1,0.164956,1.64377,1
309,6486,1,24,-8.38777,-3.59862,0.301455,0,0,0
309,6486,1,25,-6.72161,1.10424,0.990511,0.452079,2.63437,1
309,6486,1,26,-6.31813,-0.574159,0.857979,0,0.309683,1
309,6486,1,27,-5.74158,-2.14287,0.799967,1.26812,3.86897,1
309,6486,1,28,-8.99255,-2.21149,0.805515,0.443119,2.47322,1
309,6486,1,29,-7.22592,-2.91379,0.972905,0.123923,8.87327,1
309,6486,1,30,-9.63246,2.80121,0.790194,0,2.38913,1
309,6486,1,31,-10.6978,-5.51503,0.644917,0.635356,0,0
309,6486,2,1,-10.0179,4.27667,0.953962,0.582001,1.39932,1
309,6486,2,2,-5.9969,-2.54479,1,0.619418,0,0
309,6486,2,3,-19.1607,-6.30235,0.26139,0,0,0
